Date,Value Portfolio,S&P/TSX Composite
2025-11-12,1.027424706043788,1.0474533522263942
2025-11-13,1.0264510073621271,1.0279501073485444
2025-11-14,1.0448218748020546,1.030427100676158
2025-11-17,1.0423237898679623,1.0219224361642487
2025-11-18,1.0531023333252802,1.0205735449016344
2025-11-19,1.0625123925970932,1.028792782801298
2025-11-20,1.0617154910787252,1.0161598181976488
2025-11-21,1.0488305569060896,1.0247935584502734
2025-11-24,1.035456334951468,1.0398695386030035
2025-11-25,1.0417921432775983,1.0499371145645746
2025-11-26,1.0443757971931786,1.0594373545326357
2025-11-27,1.0432077393309578,1.0606571036916854
2025-11-28,1.0534041555760478,1.0663178546855354
2025-12-01,1.0615908221976178,1.0567700989178075
2025-12-02,1.0445435425942455,1.0549862655448334
2025-12-03,1.047209249479617,1.0587645679725457
2025-12-04,1.0571060667474161,1.0695389082727393
2025-12-05,1.050333503780184,1.0638918280257208
2025-12-08,1.0439351089670785,1.0590873568686074
2025-12-09,1.0306207521034634,1.0616153168640206
2025-12-10,1.023064905336946,1.0699908392723656
2025-12-11,1.014140397090589,1.0757602262495327
2025-12-12,1.0204444054625827,1.0712310281888144
2025-12-15,1.0132451735239894,1.0697360059333696
2025-12-16,0.983380523200693,1.0622778835454114
2025-12-17,0.9975351850481762,1.0618055791512353
2025-12-18,0.9896327786962925,1.068291950345724
2025-12-19,0.9952456714606301,1.0789915660782847
2025-12-22,1.0015625249810831,1.0872922975561483
2025-12-23,1.0115544842833228,1.089283382105603
2025-12-24,1.011935862554509,1.0872821440402975
2025-12-29,1.0201603468032143,1.0837755974779995
2025-12-30,1.034662477046966,1.0827461106061635
2025-12-31,1.0340986779961898,1.0775305216013726
2026-01-02,1.044096809470509,1.0833271173465053
2026-01-05,0.9969058683218216,1.0947640243280894
2026-01-06,0.9820937763621775,1.1011178689137304
2026-01-07,0.9649321077553725,1.0918929020420645
2026-01-08,0.9810733402092525,1.100152886730828
2026-01-09,0.996750176661822,1.1081139067862116
2026-01-12,1.0002057690876955,1.1170092493883996
2026-01-13,1.0182419354584837,1.1168631183955688
2026-01-14,1.0434369230775737,1.1184295470762118
2026-01-15,1.0404170027125133,1.122248596293024
2026-01-16,1.0529677096324523,1.1226462424824162
2026-01-19,1.0540816193370852,1.1243586694301924
2026-01-20,1.0432115482764213,1.1127824668291935
2026-01-21,1.0682231169022256,1.1162209914715775
2026-01-22,1.0595619313826223,1.1213584050406034
2026-01-23,1.070622013781862,1.1261934694709659
2026-01-26,1.0668662135382219,1.1244368448659576
2026-01-27,1.0673101827230718,1.124542096343991
2026-01-28,1.0768034040726426,1.1272502314736161
2026-01-29,1.090426215625545,1.1218137869083618
2026-01-30,1.0865869027009714,1.0846896129931023
2026-02-02,1.074937420739935,1.0935374397956235
2026-02-03,1.0982851392812816,1.1004926645161561
2026-02-04,1.1251988112157632,1.1067105979876657
2026-02-05,1.1221095459161259,1.0871054197742174
2026-02-06,1.1350791161878135,1.103292446739832
2026-02-09,1.1311124738986889,1.1220584003686587
2026-02-10,1.1353466146565103,1.1299922116560768
2026-02-11,1.1639929640757234,1.1299038163416124
2026-02-12,1.1617612096117755,1.1030987999473343
2026-02-13,1.1940505140944024,1.1237708273164349
2026-02-17,1.176443872718856,1.1177534423736875
2026-02-18,1.1904177684312192,1.1345078053328124
2026-02-19,1.210329261832861,1.141483469810744
2026-02-20,1.207082335252513,1.1490435255343006
2026-02-23,1.2175561956595506,1.1476504366144542
2026-02-24,1.2214429835024894,1.1542386747816928
2026-02-25,1.2192514348717562,1.159569867868914
2026-02-26,1.224833416064248,1.1723013149400294
2026-02-27,1.240969029669328,1.1667969148177093
2026-03-02,1.2611342515127932,1.1736366681815094
2026-03-03,1.2638054084607897,1.147935796863851
2026-03-04,1.2590621123457655,1.1533042858720397
2026-03-05,1.2748215397759908,1.1419931364887363
2026-03-06,1.2837239511440866,1.1241106051017633
2026-03-09,1.2803017499235902,1.1276987116051103
2026-03-10,1.2706014674066135,1.1304644496874046
2026-03-11,1.2909040625886377,1.125337255997078
2026-03-12,1.3132205639629446,1.1158506867758486
2026-03-13,1.3270111151892405,1.1057014845103803
2026-03-16,1.3325212571510803,1.1170772049454658
2026-03-17,1.3307230329538489,1.118857720176005
2026-03-18,1.3259973926382214,1.0979137378529442
2026-03-19,1.3557223537153822,1.082362135163603
2026-03-20,1.333248417779657,1.0640956946969182
2026-03-23,1.3337103802169332,1.0833407217304882
2026-03-24,1.3486622424522239,1.0853045975119773
2026-03-25,1.3572792480517735,1.1002887978449594
2026-03-26,1.3542916304280412,1.0834664129659204
2026-03-27,1.3767974540730705,1.0859535598093848
2026-03-30,1.3691010727767963,1.0850769729409466
2026-03-31,1.3571019010232244,1.1133838469640853
2026-04-01,1.3170757798509793,1.1198396248853248
2026-04-02,1.3400572241564708,1.124943060675818
2026-04-06,1.3454868894140788,1.1274506472766812
2026-04-07,1.3625106427253428,1.1293364139852538
2026-04-08,1.3203014334176921,1.1423533540314634
2026-04-09,1.3098616452857468,1.1374978498437023
2026-04-10,1.3185306444378682,1.1449084564319936
2026-04-13,1.3114199512003397,1.1511399279246373
2026-04-14,1.285692706395556,1.1587237415480276
2026-04-15,1.2806544741641974,1.1605450035676665
2026-04-16,1.283608813343967,1.1570180836108184
2026-04-17,1.2373787787007366,1.1670110013676054
2026-04-20,1.233084963879117,1.1674764703883658
2026-04-21,1.2460215435665458,1.1487309565169377
2026-04-22,1.250730106729627,1.1537189209506982
2026-04-23,1.2712535738280641,1.1522849525160543
2026-04-24,1.2641202731744767,1.1519860542455231
2026-04-27,1.2606363250544304,1.1490672834341338
2026-04-28,1.290419733770459,1.1411199341255815
2026-04-29,1.3060768783065075,1.1320851631782811
2026-04-30,1.3290393452246485,1.1540314899680606
2026-05-01,1.3124973373260507,1.1515476612670312
2026-05-04,1.3207311454258506,1.1429750411980564
2026-05-05,1.3292122406900504,1.140528641143692
2026-05-06,1.2910261133477836,1.1546261010923853
2026-05-07,1.2750183162180844,1.1503721097652133
2026-05-08,1.2709136693819898,1.157887967831538
2026-05-11,1.2899586747575,1.1599639304644758
2026-05-12,1.3223198166288321,1.1651217837909003
2026-05-13,1.3313008932831252,1.156651097057524
2026-05-14,1.3495333936914045,1.1643607346420435
2026-05-15,1.3577706683689468,1.1495837191226932
2026-05-19,1.395619986881214,1.1464509944871049
2026-05-20,1.3902052546954868,1.1607421012282961
2026-05-21,1.400026357080173,1.1691583704257411
2026-05-22,1.4057672321658352,1.171261541826645
2026-05-25,1.3762290732705564,1.179871590542285
2026-05-26,1.3672201965184454,1.1774624864088883
2026-05-27,1.343372740782931,1.1692467657402057
2026-05-28,1.3320772742263929,1.172834739517855
2026-05-29,1.3186324524386517,1.1813768326764293
2026-06-01,1.3321419045049903,1.1802146864700485
2026-06-02,1.3672368802229717,1.1949814821106997
2026-06-03,1.373939456207574,1.1824776596106148
2026-06-04,1.3835589104181956,1.1965988774591418
2026-06-05,1.3553150843069122,1.169294281539873
2026-06-08,1.3535776534675839,1.1715096061550745
2026-06-09,1.3322544246323595,1.1692330949933742
2026-06-10,1.3566041277701293,1.1603853345537019
2026-06-11,1.3561155227860688,1.1780605484013453
2026-06-12,1.3556942069302569,1.187112175512215
2026-06-15,1.3322619908773399,1.1985865775033129
2026-06-16,1.3170996488434088,1.2024600442560567
2026-06-17,1.2989474630070512,1.1934729218341207
2026-06-18,1.2809445418679268,1.1881791573935647
2026-06-19,1.2917816869728893,1.188165486646733
2026-06-22,1.2988176819836528,1.1892969732170162
2026-06-23,1.308390831676409,1.1867554088376204
2026-06-24,1.2806775112273672,1.1802555659848462
2026-06-25,1.2897197230085917,1.1841323508800248
2026-06-26,1.2882539782954234,1.1885426930787268
2026-06-29,1.2773141014108134,1.1832353906170368
2026-06-30,1.2660514306039505,1.1843634263191876
2026-07-02,1.265615592951047,1.1880907620791006
2026-07-03,1.2706282597292127,1.1976249798256944
2026-07-06,1.2559022071248394,1.196435757577045
2026-07-07,1.2941912931742952,1.1984846441677146
2026-07-08,1.3199479150058333,1.1870409018127148
2026-07-09,1.3063652160132555,1.196034793245218
2026-07-10,1.3031507655103587,1.1995956909805991
2026-07-13,1.3288546184730223,1.1978084067394927
2026-07-14,1.3247191873027453,1.2001121266691588
2026-07-15,1.3277851119865975,1.203363773529612
2026-07-16,1.3324805068557444,1.2007814623611162
2026-07-17,1.3464860428527108,1.198188931313921
2026-07-20,1.3425426922738317,1.1878733573867692
2026-07-21,1.3573699156221615,1.2017634997961335
2026-07-22,1.3783474635223232,1.2057049221059428
2026-07-23,1.398277309438962,1.195769740027522
2026-07-24,1.3975389624801056,1.2017634997961333
2026-07-27,1.3563375556183177,1.2085250777241683
2026-07-28,1.3459654120250424,1.2146953626703134
2026-07-29,1.3729575784272883,1.2005640576687844
2026-07-30,1.383584885534252,1.2064082355764327
2026-07-31,1.3769671288751295,1.1969046774659369
2026-08-04,1.347153475040255,1.216458889011586
2026-08-05,1.3042265786281142,1.2281743208691511
2026-08-06,1.311614488627121,1.2278312249413879
2026-08-07,1.3000109642035427,1.236152329813801
2026-08-10,1.32584608967099,1.238772069628962
2026-08-11,1.3320746598491782,1.2393699988957214
2026-08-12,1.33165753518269,1.245696767439094
2026-08-13,1.328850734212877,1.2489993809673465
2026-08-14,1.3304883187322813,1.2480140253898941
2026-08-17,1.346547877869234,1.2458937323740265
2026-08-18,1.363963829822559,1.2357003988141746
2026-08-19,1.340585867598985,1.2368523251418562
2026-08-20,1.3692236941517355,1.2356154543678424
2026-08-21,1.3637847673583967,1.2442730188831495
2026-08-24,1.3568196011733251,1.2474636119228015
2026-08-25,1.3362853261289063,1.2557372009955479
2026-08-26,1.3481333922201613,1.250847719029254
2026-08-27,1.3440895068544805,1.2515477143573095
2026-08-28,1.3400811201842127,1.2420202656212829
2026-08-31,1.357774332541372,1.232391016275355
2026-09-01,1.386073557754318,1.2172776738388085
2026-09-02,1.3737819887337768,1.226312444786109
2026-09-03,1.3632365197854528,1.2447114118616416
2026-09-04,1.352081022927142,1.2406578363375345
2026-09-08,1.359467899034217,1.2273827448098935
2026-09-09,1.362637252822557,1.2200265557575338
2026-09-10,1.3313166779891774,1.2064252244656988
2026-09-11,1.3233140489124497,1.212921749176038
2026-09-14,1.3372241411929777,1.2130926998742813
